sample,fastq_1,fastq_2,strandedness
SRR8615222,SRR8615222_1.fastq.gz,SRR8615222_2.fastq.gz,auto
SRR8615223,SRR8615223_1.fastq.gz,SRR8615223_2.fastq.gz,auto
SRR8615224,SRR8615224_1.fastq.gz,SRR8615224_2.fastq.gz,auto
SRR8615225,SRR8615225_1.fastq.gz,SRR8615225_2.fastq.gz,auto
SRR8615226,SRR8615226_1.fastq.gz,SRR8615226_2.fastq.gz,auto
SRR8615227,SRR8615227_1.fastq.gz,SRR8615227_2.fastq.gz,auto
SRR8615228,SRR8615228_1.fastq.gz,SRR8615228_2.fastq.gz,auto
SRR8615229,SRR8615229_1.fastq.gz,SRR8615229_2.fastq.gz,auto
SRR8615230,SRR8615230_1.fastq.gz,SRR8615230_2.fastq.gz,auto
SRR8615231,SRR8615231_1.fastq.gz,SRR8615231_2.fastq.gz,auto
SRR8615232,SRR8615232_1.fastq.gz,SRR8615232_2.fastq.gz,auto
SRR8615233,SRR8615233_1.fastq.gz,SRR8615233_2.fastq.gz,auto
SRR8615234,SRR8615234_1.fastq.gz,SRR8615234_2.fastq.gz,auto
SRR8615235,SRR8615235_1.fastq.gz,SRR8615235_2.fastq.gz,auto
SRR8615236,SRR8615236_1.fastq.gz,SRR8615236_2.fastq.gz,auto
SRR8615237,SRR8615237_1.fastq.gz,SRR8615237_2.fastq.gz,auto
SRR8615238,SRR8615238_1.fastq.gz,SRR8615238_2.fastq.gz,auto
SRR8615239,SRR8615239_1.fastq.gz,SRR8615239_2.fastq.gz,auto
SRR8615240,SRR8615240_1.fastq.gz,SRR8615240_2.fastq.gz,auto
SRR8615241,SRR8615241_1.fastq.gz,SRR8615241_2.fastq.gz,auto
SRR8615242,SRR8615242_1.fastq.gz,SRR8615242_2.fastq.gz,auto
SRR8615243,SRR8615243_1.fastq.gz,SRR8615243_2.fastq.gz,auto
SRR8615244,SRR8615244_1.fastq.gz,SRR8615244_2.fastq.gz,auto
SRR8615245,SRR8615245_1.fastq.gz,SRR8615245_2.fastq.gz,auto
SRR8615246,SRR8615246_1.fastq.gz,SRR8615246_2.fastq.gz,auto
SRR8615247,SRR8615247_1.fastq.gz,SRR8615247_2.fastq.gz,auto
SRR8615248,SRR8615248_1.fastq.gz,SRR8615248_2.fastq.gz,auto
SRR8615249,SRR8615249_1.fastq.gz,SRR8615249_2.fastq.gz,auto
SRR8615250,SRR8615250_1.fastq.gz,SRR8615250_2.fastq.gz,auto
SRR8615251,SRR8615251_1.fastq.gz,SRR8615251_2.fastq.gz,auto
SRR8615252,SRR8615252_1.fastq.gz,SRR8615252_2.fastq.gz,auto
SRR8615253,SRR8615253_1.fastq.gz,SRR8615253_2.fastq.gz,auto
SRR8615254,SRR8615254_1.fastq.gz,SRR8615254_2.fastq.gz,auto
SRR8615255,SRR8615255_1.fastq.gz,SRR8615255_2.fastq.gz,auto
SRR8615256,SRR8615256_1.fastq.gz,SRR8615256_2.fastq.gz,auto
SRR8615257,SRR8615257_1.fastq.gz,SRR8615257_2.fastq.gz,auto
SRR8615258,SRR8615258_1.fastq.gz,SRR8615258_2.fastq.gz,auto
SRR8615259,SRR8615259_1.fastq.gz,SRR8615259_2.fastq.gz,auto
SRR8615260,SRR8615260_1.fastq.gz,SRR8615260_2.fastq.gz,auto
SRR8615261,SRR8615261_1.fastq.gz,SRR8615261_2.fastq.gz,auto
SRR8615262,SRR8615262_1.fastq.gz,SRR8615262_2.fastq.gz,auto
SRR8615263,SRR8615263_1.fastq.gz,SRR8615263_2.fastq.gz,auto
SRR8615264,SRR8615264_1.fastq.gz,SRR8615264_2.fastq.gz,auto
SRR8615265,SRR8615265_1.fastq.gz,SRR8615265_2.fastq.gz,auto
SRR8615266,SRR8615266_1.fastq.gz,SRR8615266_2.fastq.gz,auto
SRR8615267,SRR8615267_1.fastq.gz,SRR8615267_2.fastq.gz,auto
SRR8615268,SRR8615268_1.fastq.gz,SRR8615268_2.fastq.gz,auto
SRR8615269,SRR8615269_1.fastq.gz,SRR8615269_2.fastq.gz,auto
SRR8615270,SRR8615270_1.fastq.gz,SRR8615270_2.fastq.gz,auto
SRR8615271,SRR8615271_1.fastq.gz,SRR8615271_2.fastq.gz,auto
SRR8615272,SRR8615272_1.fastq.gz,SRR8615272_2.fastq.gz,auto
SRR8615273,SRR8615273_1.fastq.gz,SRR8615273_2.fastq.gz,auto
SRR8615274,SRR8615274_1.fastq.gz,SRR8615274_2.fastq.gz,auto
SRR8615275,SRR8615275_1.fastq.gz,SRR8615275_2.fastq.gz,auto
SRR8615276,SRR8615276_1.fastq.gz,SRR8615276_2.fastq.gz,auto
SRR8615277,SRR8615277_1.fastq.gz,SRR8615277_2.fastq.gz,auto
SRR8615278,SRR8615278_1.fastq.gz,SRR8615278_2.fastq.gz,auto
SRR8615279,SRR8615279_1.fastq.gz,SRR8615279_2.fastq.gz,auto
SRR8615280,SRR8615280_1.fastq.gz,SRR8615280_2.fastq.gz,auto
SRR8615281,SRR8615281_1.fastq.gz,SRR8615281_2.fastq.gz,auto
SRR8615282,SRR8615282_1.fastq.gz,SRR8615282_2.fastq.gz,auto
SRR8615283,SRR8615283_1.fastq.gz,SRR8615283_2.fastq.gz,auto
SRR8615284,SRR8615284_1.fastq.gz,SRR8615284_2.fastq.gz,auto
SRR8615285,SRR8615285_1.fastq.gz,SRR8615285_2.fastq.gz,auto
SRR8615286,SRR8615286_1.fastq.gz,SRR8615286_2.fastq.gz,auto
SRR8615287,SRR8615287_1.fastq.gz,SRR8615287_2.fastq.gz,auto
SRR8615288,SRR8615288_1.fastq.gz,SRR8615288_2.fastq.gz,auto
SRR8615289,SRR8615289_1.fastq.gz,SRR8615289_2.fastq.gz,auto
SRR8615290,SRR8615290_1.fastq.gz,SRR8615290_2.fastq.gz,auto
SRR8615291,SRR8615291_1.fastq.gz,SRR8615291_2.fastq.gz,auto
SRR8615292,SRR8615292_1.fastq.gz,SRR8615292_2.fastq.gz,auto
