Run,Cell_line,Cellosaurus_ID
SRR8615516,MKN74,CVCL_2791
SRR8615517,MJ,CVCL_1414
SRR8615519,MIA PaCa-2,CVCL_0428
SRR8615522,MHH-NB-11,CVCL_1412
SRR8615526,CHP-126,CVCL_1123
SRR8615527,CAL-78,CVCL_1809
SRR8615529,NCI-H292,CVCL_0455
SRR8615530,NCI-H3122,CVCL_5160
SRR8615536,NCI-H2444,CVCL_1552
SRR8615539,NCI-H2887,CVCL_5159
SRR8615540,NCI-H28,CVCL_1555
SRR8615544,LN-428,CVCL_3959
SRR8615546,LN-464,CVCL_3962
SRR8615547,LNCaP clone FGC,CVCL_1379
SRR8615552,JHUEM-3,CVCL_4657
SRR8615553,JHUEM-2,CVCL_4656
SRR8615555,JL-1,CVCL_2080
SRR8615557,JJN-3,CVCL_2078
SRR8615558,JIMT-1,CVCL_2077
SRR8615560,JM1,CVCL_3532
SRR8615561,SW 1573,CVCL_1720
SRR8615565,SNU-1196,CVCL_5015
SRR8615566,SNU-1105,CVCL_5010
SRR8615569,CAL-62,CVCL_1112
SRR8615570,SNU-1066,CVCL_5005
SRR8615573,SNU-1033,CVCL_5002
SRR8615575,SNU-1041,CVCL_L085
SRR8615577,MDA-MB-453,CVCL_0418
SRR8615578,MDA-MB-468,CVCL_0419
SRR8615581,MDA-MB-361,CVCL_0620
SRR8615582,MDA-MB-415,CVCL_0621
SRR8615585,ME-1,CVCL_L911
SRR8615586,MEC-1,CVCL_1870
SRR8615587,S-117,CVCL_1674
SRR8615590,RERF-LC-KJ,CVCL_1654
SRR8615592,RD-ES,CVCL_2169
SRR8615594,REC-1,CVCL_1884
SRR8615595,RD,CVCL_1649
SRR8615597,Reh,CVCL_1650
SRR8615600,NCI-H1155,CVCL_1456
SRR8615601,NCI-H2081,CVCL_1522
SRR8615603,NCI-H1944,CVCL_1508
SRR8615605,NCI-H2106,CVCL_1526
SRR8615606,NCI-H2110,CVCL_1530
SRR8615609,NCI-H1836,CVCL_1498
SRR8615610,NCI-H1819,CVCL_1497
SRR8615611,NCI-H1793,CVCL_1496
SRR8615614,NCI-H1876,CVCL_1503
SRR8615615,NCI-H1869,CVCL_1500
SRR8615616,NCI-H1385,CVCL_1466
SRR8615619,SNU-C4,CVCL_5111
