Run,Cell_line,Cellosaurus_ID
SRR8615511,KYSE-450,CVCL_1353
SRR8615514,OAW42,CVCL_1615
SRR8615515,MKN-45,CVCL_0434
SRR8615518,MKN1,CVCL_1415
SRR8615520,Mino,CVCL_1872
SRR8615521,MHH-ES-1,CVCL_1411
SRR8615523,MHH-CALL-3,CVCL_0089
SRR8615524,MHH-CALL-4,CVCL_1410
SRR8615525,SNU-1076,CVCL_5006
SRR8615528,CAL-85-1,CVCL_1114
SRR8615531,Calu-6,CVCL_0236
SRR8615532,CAMA-1,CVCL_1115
SRR8615533,Calu-1,CVCL_0608
SRR8615534,Calu-3,CVCL_0609
SRR8615535,NCI-H2405,CVCL_1551
SRR8615537,NCI-H2347,CVCL_1550
SRR8615538,NCI-H23,CVCL_1547
SRR8615541,NCI-H2452,CVCL_1553
SRR8615542,NCIH2882,CVCL_5158
SRR8615543,OPM-1,CVCL_5210
SRR8615545,LN-443,CVCL_3960
SRR8615548,LNZ308,CVCL_0394
SRR8615549,Loucy,CVCL_1380
SRR8615550,LOU-NH91,CVCL_2104
SRR8615551,JHUEM-7,CVCL_4658
SRR8615554,JHUEM-1,CVCL_4655
SRR8615556,JK-1,CVCL_2079
SRR8615559,JMSU-1,CVCL_2081
SRR8615562,SW-1710,CVCL_1721
SRR8615563,SW1417,CVCL_1717
SRR8615564,SW1463,CVCL_1718
SRR8615567,SW 1783,CVCL_1722
SRR8615568,SW 1990,CVCL_1723
SRR8615571,SNU-1079,CVCL_5008
SRR8615572,SNU-1077,CVCL_5007
SRR8615574,SNG-M,CVCL_1707
SRR8615576,SNU-1040,CVCL_5003
SRR8615579,MDA PCa 2b,CVCL_4748
SRR8615580,MDST8,CVCL_2588
SRR8615583,MDA-MB-435S,CVCL_0622
SRR8615584,MDA-MB-436,CVCL_0623
SRR8615588,HEC-50B,CVCL_2929
SRR8615589,NCI-H1435,CVCL_1470
SRR8615591,RERF-LC-AI,CVCL_4402
SRR8615593,RCM-1 [Human rectal adenocarcinoma],CVCL_1648
SRR8615596,RERF-GC-1B,CVCL_3152
SRR8615598,RERF-LC-Ad2,CVCL_1652
SRR8615599,RERF-LC-Ad1,CVCL_1651
SRR8615602,NCI-H1963,CVCL_1510
SRR8615604,NCI-H209,CVCL_1525
SRR8615607,NCI-H211,CVCL_1529
SRR8615608,NCI-H1838,CVCL_1499
SRR8615612,NCI-H1373,CVCL_1465
SRR8615613,NCI-H1915,CVCL_1505
SRR8615617,COLO 829,CVCL_1137
SRR8615618,COLO-800,CVCL_1135
SRR8615625,HEC-59,CVCL_2930
SRR8615627,HEK TE,CVCL_WS59
SRR8615630,HEL,CVCL_0001
SRR8615632,DND-41,CVCL_2022
SRR8615633,ECC10,CVCL_1188
SRR8615636,DV-90,CVCL_1184
SRR8615637,A2058,CVCL_1059
SRR8615639,COLO-679,CVCL_1130
SRR8615640,PC-14,CVCL_1640
SRR8615641,PC-3,CVCL_0035
SRR8615642,786-O,CVCL_1051
SRR8615643,769-P,CVCL_1050
SRR8615644,8505C,CVCL_1054
SRR8615646,A101D,CVCL_1057
SRR8615647,8-MG-BA,CVCL_1052
SRR8615648,A172,CVCL_0131
SRR8615651,SNU-478,CVCL_5065
SRR8615652,SNU-489,CVCL_5069
SRR8615655,SNU-449,CVCL_0454
SRR8615656,SNU-466,CVCL_5064
SRR8615657,SNU-46,CVCL_5063
SRR8615659,SNU-5,CVCL_0078
SRR8615660,HuNS1,CVCL_2526
SRR8615662,HuH-6,CVCL_4381
SRR8615665,HuG1-N,CVCL_4846
SRR8615666,HuCCT1,CVCL_0324
SRR8615669,HUP-T3,CVCL_1299
SRR8615670,PE/CA-PJ15,CVCL_2678
SRR8615673,SIG-M5,CVCL_1694
SRR8615674,SHP-77,CVCL_1693
SRR8615675,SIMA,CVCL_1695
SRR8615678,SJSA-1,CVCL_1697
SRR8615679,SK-ES-1,CVCL_0627
SRR8615680,SK-CO-1,CVCL_0626
SRR8615683,L-540,CVCL_1362
SRR8615685,PANC-1,CVCL_0480
SRR8615688,U-118 MG,CVCL_0633
SRR8615689,U-178,CVCL_A758
SRR8615692,U-2 OS,CVCL_0042
SRR8615694,MOLT-3,CVCL_0624
SRR8615697,MON,CVCL_M846
SRR8615699,MPP 89,CVCL_1427
SRR8615702,KNS-60,CVCL_2798
SRR8615703,KNS-42,CVCL_0378
SRR8615706,KOPN-8,CVCL_1866
SRR8615707,KO52,CVCL_1321
SRR8615709,KNS-62,CVCL_1335
SRR8615712,JURKAT,CVCL_0065
SRR8615713,JURL-MK1,CVCL_2086
SRR8615715,KARPAS-299,CVCL_1324
SRR8615718,RH-18,CVCL_1659
SRR8615719,LCLC-97TM1,CVCL_1376
SRR8615723,U-87 MG,CVCL_0022
SRR8615725,TTC642,CVCL_8006
SRR8615728,TT2609-C02,CVCL_2218
SRR8615730,TTC549,CVCL_8005
SRR8615731,TTC1240,CVCL_8002
SRR8615733,GCIY,CVCL_1228
SRR8615734,OVMANA,CVCL_3111
SRR8615736,FU-OV-1,CVCL_2047
SRR8615737,G-292 clone A141B1,CVCL_2909
SRR8615740,G-402,CVCL_1221
SRR8615742,GAMG,CVCL_1226
SRR8615743,RL95-2,CVCL_0505
SRR8615745,SF-295,CVCL_1690
SRR8615746,SF268,CVCL_1689
SRR8615749,Set-2,CVCL_2187
SRR8615750,SEM,CVCL_0095
SRR8615753,OVKATE,CVCL_3110
SRR8615755,MDA-MB-134-VI,CVCL_0617
SRR8615759,Malme-3M,CVCL_1438
SRR8615761,M059K,CVCL_0401
SRR8615763,SW 1353,CVCL_0543
SRR8615764,NCI-H1930,CVCL_1507
SRR8615767,MDA-MB-231,CVCL_0062
SRR8615768,BFTC-905,CVCL_1083
SRR8615770,BDCM,CVCL_4613
SRR8615772,BCP-1,CVCL_0107
SRR8615775,BC-3C,CVCL_1958
SRR8615777,BHY,CVCL_1086
SRR8615780,Hs 706.T,CVCL_0863
SRR8615783,Hs 675.T,CVCL_0836
SRR8615785,Hs 688(A).T,CVCL_0846
SRR8615789,COLO 684,CVCL_1132
SRR8615791,Hs 739.T,CVCL_0882
SRR8615792,COLO-678,CVCL_1129
SRR8615795,PA-TU-8988S,CVCL_1846
SRR8615798,NCI-H522,CVCL_1567
SRR8615800,RH-41,CVCL_2176
SRR8615801,RI-1,CVCL_1885
SRR8615804,NCI-H441,CVCL_1561
SRR8615805,NCI-H358,CVCL_1559
SRR8615808,NCI-H510,CVCL_1565
SRR8615809,NCI-H508,CVCL_1564
SRR8615812,T-47D,CVCL_0553
SRR8615813,NCI-H2122,CVCL_1531
SRR8615817,HCC1187,CVCL_1247
SRR8615819,HCC1143,CVCL_1245
SRR8615825,TCC-PAN2,CVCL_3178
SRR8615826,TCCSUP,CVCL_1738
SRR8615828,TE-11,CVCL_1761
SRR8615832,TC-71,CVCL_2213
SRR8615834,TE-14,CVCL_3336
SRR8615835,LN-235,CVCL_3957
SRR8615838,LN-18,CVCL_0392
SRR8615841,IM95,CVCL_2961
SRR8615842,IMR-32,CVCL_0346
SRR8615845,IGR-1,CVCL_1303
SRR8615848,IA-LM,CVCL_1302
SRR8615849,HuT 102,CVCL_3526
SRR8615851,SLR 26,CVCL_V612
SRR8615853,SW 900,CVCL_1731
SRR8615854,SW837,CVCL_1729
SRR8615855,T1-73,CVCL_3605
SRR8615857,T3M-10,CVCL_8067
SRR8615860,SK-RC-20,CVCL_V605
SRR8615861,SK-UT-1,CVCL_0533
SRR8615863,SLR 21,CVCL_V607
SRR8615864,SLR 23,CVCL_V609
SRR8615867,ONS-76,CVCL_1624
SRR8615868,FTC-238,CVCL_2447
SRR8615874,OV-90,CVCL_3768
SRR8615875,OUMS-23,CVCL_3088
SRR8615876,OV56,CVCL_2673
SRR8615877,OPM-2,CVCL_1625
SRR8615880,OVK18,CVCL_3770
SRR8615881,Hs 863.T,CVCL_0959
SRR8615884,Hs 870.T,CVCL_0966
SRR8615887,Hs 939.T,CVCL_1036
SRR8615889,Hs 944.T,CVCL_1040
SRR8615890,Hs 940.T,CVCL_1038
SRR8615893,DMS 79,CVCL_1178
SRR8615894,TUHR4TKB,CVCL_5957
SRR8615897,HCC364,CVCL_5134
SRR8615901,NCI-H1184,CVCL_1458
SRR8615902,KMRC-1,CVCL_2983
SRR8615903,KMM-1,CVCL_2981
SRR8615907,KLE,CVCL_1329
SRR8615908,KM-H2,CVCL_1330
SRR8615909,KMBC-2,CVCL_2977
SRR8615911,KG-1-C,CVCL_2971
SRR8615914,JHH-7,CVCL_2805
SRR8615916,JHOM-1,CVCL_4644
SRR8615917,JHOM-2B,CVCL_4645
SRR8615920,JHH-5,CVCL_0364
SRR8615921,JHH-6,CVCL_2788
SRR8615922,JHOS-2,CVCL_4647
SRR8615925,SW 1088,CVCL_1715
SRR8615926,SUP-T1,CVCL_1714
SRR8615929,SUP-B15,CVCL_0103
SRR8615930,SNU-201,CVCL_5033
SRR8615933,SNU-1,CVCL_0099
SRR8615934,SNU-16,CVCL_0076
SRR8615937,SNU-1272,CVCL_8788
SRR8615938,SNU-1197,CVCL_5016
SRR8615939,SNU-119,CVCL_5014
SRR8615942,KMS-28BM,CVCL_2994
SRR8615945,NCI-H1395,CVCL_1467
SRR8615946,NCI-H1436,CVCL_1471
SRR8615947,SU-DHL-8,CVCL_2207
SRR8615950,KP-3,CVCL_3005
SRR8615951,KP-2,CVCL_3004
SRR8615953,DBTRG-05MG,CVCL_1169
SRR8615955,COV644,CVCL_2425
SRR8615956,COV434,CVCL_2010
SRR8615960,D341 Med,CVCL_0018
SRR8615961,Daudi,CVCL_0008
SRR8615964,RCC10RGB,CVCL_1647
SRR8615965,RCH-ACV,CVCL_1851
SRR8615966,Hs 611.T,CVCL_0823
SRR8615967,PLB-985,CVCL_2162
SRR8615968,PLC/PRF/5,CVCL_0485
SRR8615969,PK-59,CVCL_4897
SRR8615970,PL-21,CVCL_2161
SRR8615971,QGP-1,CVCL_3143
SRR8615972,Raji,CVCL_0511
SRR8615974,PSN1,CVCL_1644
SRR8615975,NCI-H841,CVCL_1595
SRR8615978,NCI-H854,CVCL_A584
SRR8615979,NCI-H1781,CVCL_1494
SRR8615981,NCI-H82,CVCL_1591
SRR8615983,NCI-H1694,CVCL_1489
SRR8615985,NCI-H1734,CVCL_1491
SRR8615986,NCI-H1755,CVCL_1492
SRR8615990,NCI-H1693,CVCL_1488
SRR8615991,COLO-680N,CVCL_1131
SRR8615994,HCC2450,CVCL_5133
SRR8615995,HCC2429,CVCL_5132
SRR8615996,HCC2935,CVCL_1265
SRR8615998,DMS 53,CVCL_1177
SRR8615999,HCC-2108,CVCL_A352
SRR8616002,DMS 114,CVCL_1174
SRR8616003,DMS 153,CVCL_1175
SRR8616005,DMS 454,CVCL_2438
SRR8616007,Detroit 562,CVCL_1171
SRR8616008,DK-MG,CVCL_1173
SRR8616011,SUIT-2,CVCL_3172
SRR8616012,A-673,CVCL_0080
SRR8616016,A4/Fuk,CVCL_1064
SRR8616021,A3/KAW,CVCL_1062
SRR8616022,SNU-81,CVCL_5098
SRR8616025,SNU-601,CVCL_0101
SRR8616026,SNU-626,CVCL_5080
SRR8616029,SNU-668,CVCL_5081
SRR8616030,SNU-738,CVCL_5087
SRR8616032,HT-29,CVCL_0320
SRR8616033,HT55,CVCL_1294
SRR8616035,KYSE-140,CVCL_1347
SRR8616037,KYSE-180,CVCL_1349
SRR8616038,KYSE-410,CVCL_1352
SRR8616041,HSC-3,CVCL_1288
SRR8616043,HT-1080,CVCL_0317
SRR8616044,HT115,CVCL_2520
SRR8616046,HT-1376,CVCL_1292
SRR8616049,SK-MEL-24,CVCL_0599
SRR8616050,SK-LU-1,CVCL_0629
SRR8616052,SK-MEL-31,CVCL_0600
SRR8616053,SK-MEL-3,CVCL_0550
SRR8616055,SK-MEL-30,CVCL_0039
SRR8616056,SK-MEL-5,CVCL_0527
SRR8616059,SW480,CVCL_0546
SRR8616061,MOLT-13,CVCL_1422
SRR8616062,NCI-H1623,CVCL_1481
SRR8616065,MOLP-8,CVCL_2124
SRR8616066,MOLP-2,CVCL_2123
SRR8616068,MKN7,CVCL_1417
SRR8616071,KP-N-SI9s,CVCL_1340
SRR8616072,KP-N-YN,CVCL_1341
SRR8616082,CH-157MN,CVCL_5723
SRR8616083,CHP-212,CVCL_1125
SRR8616084,Toledo,CVCL_3611
SRR8616087,TO 175.T,CVCL_3806
SRR8616089,TM-31,CVCL_6735
SRR8616090,SH-4,CVCL_1692
SRR8616093,TF-1,CVCL_0559
SRR8616095,SCC-9,CVCL_1685
SRR8616096,SCLC-21H,CVCL_0024
SRR8616097,SCC-25,CVCL_1682
SRR8616099,SCaBER,CVCL_3599
SRR8616101,Saos-2,CVCL_0548
SRR8616103,LC-1F,CVCL_1372
SRR8616105,NCI-H2342,CVCL_1549
SRR8616108,NCI-H2170,CVCL_1535
SRR8616110,NCI-H2172,CVCL_1537
SRR8616112,NCI-H2227,CVCL_1542
SRR8616114,NCI-H226,CVCL_1544
SRR8616119,BL-41,CVCL_1087
SRR8616120,BICR 18,CVCL_2309
SRR8616122,BICR 31,CVCL_2312
SRR8616123,BICR 22,CVCL_2310
SRR8616126,HMCB,CVCL_3317
SRR8616127,HMC-1-8,CVCL_2949
SRR8616129,Hep G2,CVCL_0027
SRR8616130,Hep 3B2.1-7,CVCL_0326
SRR8616132,Hey-A8,CVCL_8878
SRR8616133,HL-60,CVCL_0002
SRR8616135,HLF,CVCL_2947
SRR8616136,HLF-a,CVCL_2255
SRR8616138,CJM [Human melanoma],CVCL_U797
SRR8616142,CL-40,CVCL_1982
SRR8616144,CML-T1,CVCL_1126
SRR8616146,COLO-320,CVCL_1989
SRR8616149,P12-ICHIKAWA,CVCL_1630
SRR8616152,NCI-H69,CVCL_1579
SRR8616153,NCI-H716,CVCL_1581
SRR8616155,OVSAHO,CVCL_3114
SRR8616157,NCI-H660,CVCL_1576
SRR8616159,NCI-H684,CVCL_9980
SRR8616162,NCI-H596,CVCL_1571
SRR8616164,697,CVCL_0079
SRR8616165,647-V,CVCL_1049
SRR8616166,253J,CVCL_7935
SRR8616168,23132/87,CVCL_1046
SRR8616169,22Rv1,CVCL_1045
SRR8616171,59M,CVCL_2291
SRR8616172,5637,CVCL_0126
SRR8616174,HCC1954,CVCL_1259
SRR8616175,HCC202,CVCL_2062
SRR8616177,HCC1806,CVCL_1258
SRR8616178,HCC-1833,CVCL_5129
SRR8616179,HCC1937,CVCL_0290
SRR8616181,HCC1569,CVCL_1255
SRR8616182,HCC-1588,CVCL_A351
SRR8616183,HCC1599,CVCL_1256
SRR8616186,LOX IMVI,CVCL_1381
SRR8616187,NCI-H1563,CVCL_1475
SRR8616188,NCI-H146,CVCL_1473
SRR8616190,NCI-H1568,CVCL_1476
SRR8616194,CACO2;CACO2;CaCo-2,CVCL_0025
SRR8616195,BT-474,CVCL_0179
SRR8616197,BT-549,CVCL_1092
SRR8616201,C32,CVCL_ZA06
SRR8616202,C8166,CVCL_1099
SRR8616206,HOP-92,CVCL_1286
SRR8616207,HMEL,CVCL_IZ34
SRR8616208,HNT-34,CVCL_2071
SRR8616210,HPB-ALL,CVCL_1820
SRR8616213,EWS502,CVCL_S740
SRR8616216,F-36P,CVCL_2037
SRR8616217,EPLC-272H,CVCL_1197
SRR8616218,EOL-1,CVCL_0258
SRR8616220,ES-2,CVCL_3509
SRR8618300,VM-CUB1,CVCL_1786
SRR8618301,ZR-75-1,CVCL_0588
SRR8618302,WM-983B,CVCL_6809
SRR8618303,WM-88,CVCL_6805
SRR8618304,ZR-75-30,CVCL_1661
SRR8618305,VCaP,CVCL_2235
SRR8618306,YAPC,CVCL_1794
SRR8618307,WSU-DLCL2,CVCL_1902
SRR8618308,YD-15,CVCL_8930
SRR8618309,YD-10B,CVCL_8929
SRR8618310,YD-8,CVCL_L079
SRR8618311,YD-38,CVCL_L083
SRR8618312,YKG1,CVCL_1796
SRR8618313,YH-13,CVCL_1795
SRR8618314,WM-266-4,CVCL_2765
SRR8618315,VMRC-RCZ,CVCL_1791
SRR8618316,WM1799,CVCL_A341
SRR8618317,VMRC-RCW,CVCL_1790
SRR8618318,WM-115,CVCL_0040
SRR8618319,WM-793,CVCL_8787
